area_type,availability,location,size,total_sqft,bath,balcony,price,bhk,price_per_sqft,price_per_squrt
Super built-up  Area,20-May,1st Block Jayanagar,4 BHK,2850.0,4,1,428.0,4,15017.54,15017.54
Super built-up  Area,18-Jun,1st Block Jayanagar,3 BHK,1630.0,3,2,194.0,3,11901.84,11901.84
Super built-up  Area,Ready To Move,1st Block Jayanagar,3 BHK,1875.0,2,3,235.0,3,12533.33,12533.33
Built-up  Area,15-Dec,1st Block Jayanagar,3 BHK,1200.0,2,0,130.0,3,10833.33,10833.33
Super built-up  Area,18-Jun,1st Block Jayanagar,2 BHK,1235.0,2,2,148.0,2,11983.81,11983.81
Super built-up  Area,20-May,1st Block Jayanagar,4 BHK,2750.0,4,0,413.0,4,15018.18,15018.18
Super built-up  Area,20-May,1st Block Jayanagar,4 BHK,2450.0,4,2,368.0,4,15020.41,15020.41
Super built-up  Area,Ready To Move,1st Phase JP Nagar,3 BHK,1875.0,3,1,167.0,3,8906.67,8906.67
Built-up  Area,Ready To Move,1st Phase JP Nagar,5 Bedroom,1500.0,5,1,85.0,5,5666.67,5666.67
Super built-up  Area,Ready To Move,1st Phase JP Nagar,3 BHK,2065.0,4,1,210.0,3,10169.49,10169.49
Super built-up  Area,Ready To Move,1st Phase JP Nagar,3 BHK,2059.0,3,2,225.0,3,10927.63,10927.63
Super built-up  Area,Ready To Move,1st Phase JP Nagar,2 BHK,1394.0,2,1,100.0,2,7173.6,7173.6
Super built-up  Area,18-May,1st Phase JP Nagar,2 BHK,1077.0,2,2,93.0,2,8635.1,8635.1
Plot  Area,Ready To Move,1st Phase JP Nagar,2 Bedroom,1566.0,2,0,180.0,2,11494.25,11494.25
Built-up  Area,Ready To Move,1st Phase JP Nagar,1 BHK,840.0,2,2,50.0,1,5952.38,5952.38
Super built-up  Area,18-May,1st Phase JP Nagar,3 BHK,1590.0,3,3,131.0,3,8238.99,8238.99
Super built-up  Area,Ready To Move,1st Phase JP Nagar,3 BHK,2180.0,3,2,210.0,3,9633.03,9633.03
Super built-up  Area,Ready To Move,1st Phase JP Nagar,2 BHK,1180.0,2,2,88.5,2,7500.0,7500.0
Super built-up  Area,Ready To Move,1st Phase JP Nagar,2 BHK,1200.0,2,1,86.0,2,7166.67,7166.67
Built-up  Area,Ready To Move,1st Phase JP Nagar,2 BHK,1394.0,2,2,85.0,2,6097.56,6097.56
Super built-up  Area,18-May,1st Phase JP Nagar,3 BHK,2077.0,3,3,175.0,3,8425.61,8425.61
Super built-up  Area,Ready To Move,1st Phase JP Nagar,2 BHK,1205.0,2,1,85.0,2,7053.94,7053.94
Super built-up  Area,Ready To Move,1st Phase JP Nagar,2 BHK,900.0,2,1,75.0,2,8333.33,8333.33
Super built-up  Area,Ready To Move,2nd Phase Judicial Layout,3 BHK,1450.0,2,1,50.75,3,3500.0,3500.0
Super built-up  Area,Ready To Move,2nd Phase Judicial Layout,2 BHK,1150.0,2,1,40.25,2,3500.0,3500.0
Super built-up  Area,Ready To Move,2nd Phase Judicial Layout,3 BHK,1350.0,2,2,47.25,3,3500.0,3500.0
Super built-up  Area,Ready To Move,2nd Phase Judicial Layout,3 BHK,1350.0,2,2,47.25,3,3500.0,3500.0
Super built-up  Area,22-Jun,2nd Phase Judicial Layout,2 BHK,900.0,2,2,41.0,2,4555.56,4555.56
Super built-up  Area,Ready To Move,2nd Phase Judicial Layout,3 BHK,1681.0,3,3,69.0,3,4104.7,4104.7
Super built-up  Area,Ready To Move,2nd Phase Judicial Layout,3 BHK,1350.0,2,2,47.25,3,3500.0,3500.0
Super built-up  Area,Ready To Move,2nd Phase Judicial Layout,2 BHK,1150.0,2,1,40.25,2,3500.0,3500.0
Plot  Area,Ready To Move,2nd Stage Nagarbhavi,4 Bedroom,1500.0,4,2,220.0,4,14666.67,14666.67
