,area_type,availability,location,size,total_sqft,bath,balcony,price,bhk,price_per_squrt
0,Super built-up  Area,19-Dec,Electronic City Phase II,2 BHK,1056.0,2.0,1.0,39.07,2,3699.810606060606
1,Plot  Area,Ready To Move,Chikka Tirupathi,4 Bedroom,2600.0,5.0,3.0,120.0,4,4615.384615384615
2,Built-up  Area,Ready To Move,Uttarahalli,3 BHK,1440.0,2.0,3.0,62.0,3,4305.555555555556
3,Super built-up  Area,Ready To Move,Lingadheeranahalli,3 BHK,1521.0,3.0,1.0,95.0,3,6245.890861275477
4,Super built-up  Area,Ready To Move,Kothanur,2 BHK,1200.0,2.0,1.0,51.0,2,4250.0
5,Super built-up  Area,Ready To Move,Whitefield,2 BHK,1170.0,2.0,1.0,38.0,2,3247.863247863248
6,Super built-up  Area,18-May,Old Airport Road,4 BHK,2732.0,4.0,,204.0,4,7467.05710102489
7,Super built-up  Area,Ready To Move,Rajaji Nagar,4 BHK,3300.0,4.0,,600.0,4,18181.81818181818
8,Super built-up  Area,Ready To Move,Marathahalli,3 BHK,1310.0,3.0,1.0,63.25,3,4828.244274809161
9,Super built-up  Area,18-Feb,Whitefield,3 BHK,1800.0,2.0,2.0,70.0,3,3888.8888888888887
10,Plot  Area,Ready To Move,Whitefield,4 Bedroom,2785.0,5.0,3.0,295.0,4,10592.45960502693
11,Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1000.0,2.0,1.0,38.0,2,3800.0
12,Built-up  Area,Ready To Move,Gottigere,2 BHK,1100.0,2.0,2.0,40.0,2,3636.363636363637
13,Plot  Area,Ready To Move,Sarjapur,3 Bedroom,2250.0,3.0,2.0,148.0,3,6577.777777777777
14,Super built-up  Area,Ready To Move,Mysore Road,2 BHK,1175.0,2.0,2.0,73.5,2,6255.31914893617
15,Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,1180.0,3.0,2.0,48.0,3,4067.796610169492
16,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,1540.0,3.0,3.0,60.0,3,3896.103896103896
17,Super built-up  Area,Ready To Move,other,3 BHK,2770.0,4.0,2.0,290.0,3,10469.314079422382
18,Super built-up  Area,Ready To Move,other,2 BHK,1100.0,2.0,2.0,48.0,2,4363.636363636364
19,Built-up  Area,Ready To Move,Kengeri,1 BHK,600.0,1.0,1.0,15.0,1,2500.0
20,Super built-up  Area,19-Dec,Binny Pete,3 BHK,1755.0,3.0,1.0,122.0,3,6951.566951566952
21,Plot  Area,Ready To Move,Thanisandra,4 Bedroom,2800.0,5.0,2.0,380.0,4,13571.42857142857
22,Super built-up  Area,Ready To Move,Bellandur,3 BHK,1767.0,3.0,1.0,103.0,3,5829.088851160159
23,Super built-up  Area,18-Nov,Thanisandra,1 RK,510.0,1.0,0.0,25.25,1,4950.980392156863
24,Super built-up  Area,18-May,other,3 BHK,1250.0,3.0,2.0,56.0,3,4480.0
25,Super built-up  Area,Ready To Move,Electronic City,2 BHK,660.0,1.0,1.0,23.1,2,3500.0
26,Built-up  Area,20-Dec,Whitefield,3 BHK,1610.0,3.0,2.0,81.0,3,5031.055900621118
27,Super built-up  Area,17-Oct,Ramagondanahalli,2 BHK,1151.0,2.0,2.0,48.77,2,4237.185056472633
28,Super built-up  Area,Ready To Move,Electronic City,3 BHK,1025.0,2.0,1.0,47.0,3,4585.365853658536
29,Super built-up  Area,19-Dec,Yelahanka,4 BHK,2475.0,4.0,0.0,186.0,4,7515.151515151515
30,Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,1075.0,2.0,1.0,35.0,3,3255.813953488372
31,Super built-up  Area,Ready To Move,Hebbal,3 BHK,1760.0,2.0,2.0,123.0,3,6988.636363636364
32,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,1693.0,3.0,3.0,57.39,3,3389.84051978736
33,Built-up  Area,Ready To Move,Kasturi Nagar,3 BHK,1925.0,3.0,,125.0,3,6493.506493506494
34,Super built-up  Area,21-Dec,Kanakpura Road,2 BHK,700.0,2.0,1.0,36.0,2,5142.857142857143
35,Super built-up  Area,Ready To Move,Electronics City Phase 1,2 BHK,1070.0,2.0,1.0,45.5,2,4252.336448598131
36,Super built-up  Area,Ready To Move,Kundalahalli,3 BHK,1724.0,3.0,2.0,125.0,3,7250.580046403712
37,Super built-up  Area,Ready To Move,Chikkalasandra,3 BHK,1290.0,2.0,2.0,56.12,3,4350.387596899225
38,Built-up  Area,Ready To Move,Uttarahalli,2 BHK,1143.0,2.0,2.0,45.0,2,3937.007874015748
39,Built-up  Area,Ready To Move,Murugeshpalya,2 BHK,1296.0,2.0,,81.0,2,6250.0
40,Super built-up  Area,19-Dec,Sarjapur  Road,3 BHK,1254.0,3.0,2.0,38.0,3,3030.3030303030305
41,Super built-up  Area,Ready To Move,Ganga Nagar,1 BHK,600.0,1.0,0.0,38.0,1,6333.333333333333
42,Plot  Area,Ready To Move,Yelahanka,1 Bedroom,660.0,1.0,0.0,48.0,1,7272.727272727273
43,Super built-up  Area,19-Sep,Kanakpura Road,2 BHK,1330.74,2.0,2.0,91.79,2,6897.665960292769
44,Super built-up  Area,Ready To Move,Doddathoguru,2 BHK,970.0,2.0,0.0,33.0,2,3402.061855670103
45,Super built-up  Area,20-Sep,Whitefield,2 BHK,1459.0,2.0,1.0,94.82,2,6498.971898560658
46,Plot  Area,Ready To Move,KR Puram,2 Bedroom,800.0,1.0,1.0,130.0,2,16250.0
47,Built-up  Area,Ready To Move,other,2 BHK,869.0,2.0,1.0,36.0,2,4142.692750287687
48,Super built-up  Area,Ready To Move,other,2 BHK,1270.0,2.0,1.0,50.0,2,3937.007874015748
49,Super built-up  Area,18-Mar,Bhoganhalli,3 BHK,1670.0,3.0,1.0,99.0,3,5928.143712574851
50,Built-up  Area,Ready To Move,Whitefield,3 BHK,2010.0,3.0,2.0,91.0,3,4527.363184079602
51,Super built-up  Area,Ready To Move,Lakshminarayana Pura,2 BHK,1185.0,2.0,2.0,75.0,2,6329.113924050633
52,Super built-up  Area,Ready To Move,Yelahanka,3 BHK,1600.0,2.0,3.0,75.0,3,4687.5
53,Super built-up  Area,Ready To Move,Begur Road,2 BHK,1200.0,2.0,2.0,44.0,2,3666.6666666666665
54,Built-up  Area,20-Feb,Devanahalli,4 Bedroom,3210.0,2.708601981443623,,192.0,4,5981.308411214954
55,Super built-up  Area,Ready To Move,other,2 BHK,1500.0,2.0,2.0,185.0,2,12333.333333333334
56,Super built-up  Area,Ready To Move,other,2 BHK,840.0,2.0,2.0,45.0,2,5357.142857142857
57,Plot  Area,Ready To Move,other,3 Bedroom,4395.0,3.0,2.0,240.0,3,5460.750853242321
58,Super built-up  Area,Ready To Move,Ganga Nagar,2 BHK,845.0,2.0,1.0,55.0,2,6508.87573964497
59,Plot  Area,Ready To Move,Whitefield,4 Bedroom,5700.0,5.0,3.0,650.0,4,11403.508771929824
60,Built-up  Area,Ready To Move,Varthur,2 BHK,1160.0,2.0,2.0,44.0,2,3793.103448275862
61,Built-up  Area,Ready To Move,Bommanahalli,8 Bedroom,3000.0,8.0,0.0,140.0,8,4666.666666666667
62,Super built-up  Area,Ready To Move,Doddathoguru,2 BHK,1100.0,2.0,1.0,62.0,2,5636.363636363636
63,Super built-up  Area,18-Apr,Gunjur,2 BHK,1140.0,2.0,3.0,43.0,2,3771.929824561404
64,Super built-up  Area,Ready To Move,Marathahalli,2 BHK,1220.0,2.0,1.0,57.0,2,4672.131147540984
65,Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,1005.0,2.0,1.0,36.68,2,3649.751243781095
66,Super built-up  Area,20-Aug,Begur Road,2 BHK,1358.0,2.0,1.0,80.58,2,5933.726067746687
67,Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,1569.0,3.0,1.0,101.0,3,6437.221159974506
68,Super built-up  Area,18-Apr,Haralur Road,2 BHK,1240.0,2.0,1.0,70.0,2,5645.1612903225805
69,Super built-up  Area,Ready To Move,Hennur Road,3 BHK,2089.0,3.0,2.0,140.0,3,6701.771182383915
70,Super built-up  Area,Ready To Move,Kothannur,2 BHK,1206.0,2.0,1.0,48.23,2,3999.170812603648
71,Super built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,1150.0,2.0,3.0,40.0,2,3478.260869565217
72,Built-up  Area,Ready To Move,other,3 BHK,2511.0,3.0,3.0,205.0,3,8164.078056551175
73,Built-up  Area,Ready To Move,ISRO Layout,6 Bedroom,4400.0,6.0,3.0,250.0,6,5681.818181818182
74,Super built-up  Area,Ready To Move,other,3 BHK,1660.0,2.0,2.0,105.0,3,6325.301204819277
75,Built-up  Area,18-Oct,Hennur Road,4 Bedroom,3203.5,2.708601981443623,,224.5,4,7007.960043702201
76,Super built-up  Area,19-Mar,Yelahanka,2 BHK,1326.0,2.0,2.0,78.0,2,5882.35294117647
77,Super built-up  Area,Ready To Move,Garudachar Palya,3 BHK,1325.0,2.0,2.0,60.8,3,4588.679245283019
78,Super built-up  Area,Ready To Move,EPIP Zone,3 BHK,1499.0,5.0,2.0,102.0,3,6804.536357571715
79,Built-up  Area,Ready To Move,Hegde Nagar,6 Bedroom,3000.0,7.0,2.0,210.0,6,7000.0
80,Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,1665.0,3.0,2.0,88.0,3,5285.285285285286
81,Super built-up  Area,17-Sep,Dasanapura,2 BHK,708.0,2.0,2.0,37.0,2,5225.988700564972
82,Super built-up  Area,Ready To Move,Kasavanhalli,2 BHK,1060.0,2.0,2.0,58.06,2,5477.358490566037
83,Built-up  Area,Ready To Move,Sanjay nagar,2 BHK,1000.0,2.0,2.0,70.0,2,7000.0
84,Super built-up  Area,18-Dec,Electronic City,2 BHK,1000.0,2.0,1.0,28.88,2,2888.0
85,Super built-up  Area,Ready To Move,other,3 BHK,1450.0,2.0,2.0,70.0,3,4827.586206896552
86,Plot  Area,Ready To Move,ISRO Layout,4 Bedroom,1200.0,4.0,2.0,155.0,4,12916.666666666666
87,Super built-up  Area,17-Aug,Thanisandra,2 BHK,1296.0,2.0,3.0,80.0,2,6172.83950617284
88,Super built-up  Area,Ready To Move,Domlur,3 BHK,1540.0,3.0,2.0,90.0,3,5844.1558441558445
89,Plot  Area,Ready To Move,Kengeri,4 Bedroom,2894.0,4.0,1.0,245.0,4,8465.791292328957
90,Super built-up  Area,Ready To Move,Sarjapura - Attibele Road,3 BHK,1330.0,2.0,1.0,48.0,3,3609.0225563909776
91,Built-up  Area,Ready To Move,other,2 BHK,1200.0,2.0,1.0,65.0,2,5416.666666666667
92,Built-up  Area,Ready To Move,other,3 Bedroom,1200.0,3.0,1.0,90.0,3,7500.0
